白城 13675225.29,5689689.20;13675225.29,5689689.20 13 51
白山 14074393.43,5124127.66;14074393.43,5124127.66 13 57
吉林市 14088310.90,5411379.12;14088310.90,5411379.12 12 55
辽源 13931797.72,5266539.07;13931797.72,5266539.07 13 183
四平 13843491.16,5308745.68;13843491.16,5308745.68 12 56
松原 13896344.99,5614146.33;13896344.99,5614146.33 13 52
通化 14020453.49,5092491.40;14020453.49,5092491.40 13 165
沈阳 13741313.13,5104005.77;13741313.13,5104005.77 12 58
鞍山 13692554.78,5000828.02;13692554.78,5000828.02 13 320
本溪 13778549.40,5028203.72;13778549.40,5028203.72 12 227
朝阳 13409391.32,5069570.88;13409391.32,5069570.88 13 280
大连 13538978.63,4683030.35;13538978.63,4683030.35 12 167
丹东 13844127.90,4839042.54;13844127.90,4839042.54 12 282
抚顺 13799714.46,5115132.82;13799714.46,5115132.82 12 184
阜新 13545115.36,5136295.69;13545115.36,5136295.69 14 59
葫芦岛 13452370.82,4942606.69;13452370.82,4942606.69 13 319
锦州 13484680.81,4998877.54;13484680.81,4998877.54 13 166
辽阳 13719578.13,5024455.91;13719578.13,5024455.91 14 351
盘锦 13589727.24,5002567.60;13589727.24,5002567.60 13 228
铁岭 13786934.99,5175882.48;13786934.99,5175882.48 13 60
营口 13608006.77,4936054.78;13608006.77,4936054.78 13 281
呼和浩特 12441036.70,4961658.65;12441036.70,4961658.65 12 321
阿拉善盟 11770534.21,4674265.37;11770534.21,4674265.37 14 230
包头 12228217.87,4934749.35;12228217.87,4934749.35 12 229
巴彦淖尔 11955189.84,4947298.57;11955189.84,4947298.57 12 169
赤峰 13235526.36,5171687.27;13235526.36,5171687.27 12 297
鄂尔多斯 12221600.87,4782598.19;12221600.87,4782598.19 12 283
呼伦贝尔 13333126.48,6279265.36;13333126.48,6279265.36 12 61
通辽 13609090.21,5382947.12;13609090.21,5382947.12 12 64
乌海 11889256.95,4789152.27;11889256.95,4789152.27 13 123
乌兰察布 12594849.10,4984041.19;12594849.10,4984041.19 12 168
锡林郭勒盟 12919228.43,5426158.06;12919228.43,5426158.06 11 63
兴安盟 13586084.36,5763458.83;13586084.36,5763458.83 11 62
银川 11826597.44,4622376.14;11826597.44,4622376.14 12 360
固原 11827732.21,4278233.21;11827732.21,4278233.21 13 246
石嘴山 11843496.35,4693072.33;11843496.35,4693072.33 13 335
吴忠 11822833.11,4553416.98;11822833.11,4553416.98 14 322
中卫 11711308.73,4483623.53;11711308.73,4483623.53 14 181
